Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Analyst,$65K - $100K (Glassdoor est.),"Blue Elephant Solutions (BESOL) is a boutique credit consultancy that provides AI-driven risk advice to lending businesses. We leverage deep 1st party data (ex CRM) and 3rd party data (credit and alternative) to build bespoke models to optimize our clients' lending process. You will be also help develop an innovative quantitative marketing product that optimizes the lead funnel by integrating with the underwriting process.
We are looking for a very bright and hungry individual that has a passion for building things, adding value and having an impact. Total compensation will be heavily tied to performance via discretionary bonus up to 100% of salary.
This role is for a coding-heavy data analyst, but will also have elements of product management/development/analysis, business analysis, marketing analysis as well as light data science (primarily model validation). But the - you must love data and be obsessed with producing clean data. You will be a right-hand man to the CEO helping leverage data and development teams to build new products and businesses and improve our current stable of products. This is an opportunity for an ambitious junior to evolve into Data Team Lead.",-1,Blue Elephant Capital Management,"Irvington, NY",-1,-1,-1,-1,-1,-1
Signal and Information Processing Research Scientist,$65K - $100K (Glassdoor est.),"Job Description:
Our Reston office is seeking a talented Signal and Information Processing Research Scientist to be part of a strong team of scientists, engineers, and operations experts in pursuit of applied research and development of effective and efficient solutions for real-world National Security System problems.

The position responsibilities include data analysis, signal and clutter phenomenology identification/capture/modeling, and advanced algorithm development, implementation and testing. Projects will involve a variety of advanced sensing and Command and Control systems, ranging from Undersea Sensors to Airborne and Space systems employing sensory modes spanning, Acoustic, Radio Frequency, and Optical/IR.
Desired Qualifications:",3.4,"Metron, Inc.","Reston, VA",201 to 500 Employees,1982,Company - Private,Research & Development,Business Services,$50 to $100 million (USD)
Senior Data Scientist,$65K - $100K (Glassdoor est.),"Our Client
A well-known insurance company who are revolutionizing the industry with the use of AI are looking to strengthen their team with a Senior Data Scientist.
The Position:
As a Senior Data Scientist, you're responsibilities will include:
Help define the vision for the data science applications, focused on up-leveling internal use of machine learning
Partner with the marketing teams to help predict customer behavior, establish metrics and identify inventive ways of retaining customers",4.8,Venturi Group,"New York, NY",51 to 200 Employees,2009,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Senior Data Scientist,$65K - $100K (Glassdoor est.),"Are you a talented and passionate engineer? Do you love solving problems and making ideas come to life? Are you a lifelong learner who thrives in dynamic environments and enjoys the challenge of learning new technologies and techniques? Are you a team player and enjoy collaboration, but you are also self-directed and enjoy the autonomy to be able to manage your own schedule and workload? Do you appreciate the importance of good communication and know that teamwork takes practice, effort and a good attitude? If so, we want to speak with you.

The Senior Data Scientist is responsible for collaborating with the team to design and implement systems that focus on forecasting, allocating, delivering, and reporting of advertising on the internet, TV, and connected devices. The successful candidate will utilize advanced mathematical, optimization, machine-learning, software engineering, and programming skills to solve challenging problems.",3.8,Amobee,"Baltimore, MD",501 to 1000 Employees,2005,Company - Private,Advertising & Marketing,Business Services,$500 million to $1 billion (USD)
Analytical Method Development and Validation Scientist,$65K - $100K (Glassdoor est.),"· Develop and validate analytical methods for testing of OTC drug products and raw materials by means of various procedures including HPLC, GC, UV/Vis, and titration.
· Possess competency with equipment software programs such as TotalChrom and OpenLab.
· Operate and maintain laboratory equipment, understand principles (theory) of laboratory instrumentation
· Understand and perform calculations as required by test methods (some derivation of equations may be required)
· Perform laboratory operations with high degree of accuracy and precision",-1,Confidential Manufacturing,"Daytona Beach, FL",-1,-1,-1,-1,-1,-1
Data Engineer,$65K - $100K (Glassdoor est.),"We are looking for a savvy, detail-oriented Data Engineer to join our growing Technology team. This hire will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross-functional teams. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up.
The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems and products. The right candidate will be excited by the prospect of optimizing or even re-designing our company’s data architecture to support our next generation of products and data initiatives.",-1,Sift Healthcare,"Milwaukee, WI",-1,-1,-1,-1,-1,-1
S/4HANA + Analytics Consultants,$65K - $100K (Glassdoor est.),"BICP, a market leader in BI, Analytics & Innovation Platforms, is looking to hire a Data Engineering Manager to lead 3-4 product teams, which will include 20+ employees & consultants, at our long standing Fortune 100 Retail client in Beaverton, OR. Data Engineering Managers to help lead delivery of scalable data and analytics solutions, implement and integrate new technologies, lead and evolve data lake. The ideal candidate will have outstanding communication skills, validated data design and implementation capabilities, strong business acumen, and an innate drive to deliver results. He/she will be a self-starter, comfortable with ambiguity and will enjoy working in a fast-paced dynamic environment.
Ideal candidate will have a minimum of 5+ years Data Engineering experience in large enterprise environments dealing with massive volumes of data including at least 2 years as a Manager. Consultant will have prior experience supporting cloud based, analytics-driven transformation efforts from legacy to NextGen platforms. You will work with extraordinary talent of people in the field of Data Engineering with a goal of better business insights and driving data driven decisions across the organization. You’ll be working closely with Internal partners, Product Owners, Engineering Leaders, Data Analysts, Big Data Leads and Engineers.",5.0,BICP,"Portland, OR",1 to 50 Employees,2009,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
Data Scientist with TS Clearance,$65K - $100K (Glassdoor est.),"Are you a subject matter expert with an analytical, data-driven mindset? Are you interested in a role that offers an opportunity to provide front line support to our clients instead of a “back office programmer” position? If so, Deloitte’s Government & Public Services (GPS) Regulatory & Legal Support team is the place for you! Join our team of specialists as they unlock insights contained in the data universe and work through challenges related to the identification of improper payments, data quality, mission-oriented analysis, and cost management.

Work you’ll do
As a Data Scientist within our Regulatory & Legal Support team, you will:",3.9,Deloitte,"Arlington, VA",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Assistant Treasurer - Business Intelligence Analyst,$65K - $100K (Glassdoor est.),"Assistant Treasurer - Business Intelligence Analyst – Manhattan, New York
General Description
Apple Bank’s Enterprise Data Management/Business Intelligence team is seeking a Business Intelligence Analyst to add power and creativity to its BI design and execution. The Analyst, at the most basic level, will turn data into reports, and reports into key insights on which sound business decisions can be made. This will involve collaborating with team members, business unit leaders, tech infrastructure colleagues, project managers, and vendors. This position offers room for growth as appetite and demonstrable skills allow.
Essential Duties and Responsibilities",3.1,Apple Bank for Savings,"New York, NY",501 to 1000 Employees,1994,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD)
Data Scientist,$65K - $100K (Glassdoor est.),"Data Scientist
Req ID: 1525
Working Location: MASSACHUSETTS, WESTBOROUGH or PENNSYLVANIA, CENTER VALLEY
Are you looking for a company that cares about people’s lives and health, including yours? At Olympus, we help make people’s lives healthier, safer and more fulfilling, every day.
Let’s inspire healthier lives, together.
Job Description",-1,Olympus Corporation of the Americas,"Center Valley, PA",-1,-1,-1,-1,-1,-1
