Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Senior Data Scientist,$120K - $145K (Employer est.),"Overview
Alliant is seeking a Senior Data Scientist to join its Data Science team to build predictive machine learning models and perform customer segmentation. The ideal candidate will be data-curious and willing to participate with a team driven to provide direct and digital marketing clients with innovative, profit-building solutions. The successful candidate will have a wide-range of experience building machine learning models and presenting the results to marketing teams and senior management. Additionally, candidates should be highly experienced with Python, SAS, large-scale databases, web analytics and data manipulation. This position will report to the Vice President of Data Science and become a key contributor to a skilled predictive modeling and analytics team.",3.6,Alliant Cooperative Data Solutions,"Brewster, NY",1 to 50 Employees,2003,Company - Private,Advertising & Marketing,Business Services,$5 to $10 million (USD)
NLP - MRP Data Scientist,$120K - $145K (Employer est.),"NLP-MRP Data Scientist
Location: Remote
Purpose: Espire Services is looking for two experienced data scientists having both natural language processing (NLP) experience and experience in analyzing surveys/polls. Survey experience should include work within the multilevel regression with post-stratification paradigm.
Espire is starting a text analytics initiative and is growing out the data team. This position is for a data scientist with strong overall experience in both NLP and predictive modeling.
This company offers great career growth and has a fast-paced technical culture that is exciting and challenging.",4.3,Espire Services,Remote,1 to 50 Employees,-1,Contract,-1,-1,Less than $1 million (USD)
Data Scientist,$120K - $145K (Employer est.),"Job Description
We're looking for an advanced mathematician who has the ability to think in entirely new ways. This person should be excited to solve complex problems by applying the combination of a deep mathematics background with intuition and the feedback of experts in the field.
The successful mathematician at Event Dynamic will utilize strong problem-solving skills, significant programming experience, and business analytics to solve real-world dynamic pricing problems at scale. This role will be highly involved in the development of the core AI-driven pricing product and will be expected to make key business decisions on complex real-world problems. This position will interface with the subject matter experts and machine learning team to communicate business impacts of technical decisions.",3.1,Event Dynamic,"Dallas, TX",1 to 50 Employees,1998,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Image Data Scientist - Computational Pathology,$120K - $145K (Employer est.),"At Reveal, we believe that data matters. Help us use the power of data to innovate the field of pathology and improve global healthcare. Our proprietary deep learning-based platform, ImageDx™, delivers scientists and pathologists a novel class of actionable, quantitative data to accelerate research and enhance patient care.
We are seeking an enthusiastic and talented image data scientist to join our computational pathology team. The successful candidate will be a key member of the team developing new technical approaches for our computer-assisted diagnosis digital pathology products. This is an excellent opportunity to work on challenging, interesting projects with great potential for significant societal impact.
The successful candidate will enjoy working in a highly collaborative environment developing, cutting-edge products. Excellent communication and creative problem-solving skills are required. Previous experience in digital pathology, high content screening, or large biomedical image sets is a plus.",4.7,Reveal Biosciences,"San Diego, CA",1 to 50 Employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Less than $1 million (USD)
Data Scientist,$120K - $145K (Employer est.),"Company Description
Verisk is a leading data analytics provider serving customers in insurance, energy and specialized markets, and financial services. Using advanced technologies to collect and analyze billions of records, Verisk draws on unique data assets and deep domain expertise to provide first-to-market innovations integrated into customer workflows. We’ve been delivering predictive analytics and decision support solutions to our customers for nearly 50 years, helping them protect people, property, and financial assets. At Verisk, you’ll be part of an organization that’s committed to serving the long-term interests of our stakeholders, including the communities where we operate.
At Verisk, you can build an exciting career with meaningful work; create a positive and lasting impact on the business; and find the support, coaching, and training you need to advance your career. Our culture of innovation means your ideas on how to improve our business will be heard. As key contributors to our success, our team members enjoy working in a business-casual, collaborative environment that offers state-of-the-art resources, advanced technologies, and an excellent benefits package",4.5,PowerAdvocate,"East Boston, MA",51 to 200 Employees,1999,Company - Public,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable
Data Scientist - Optum360 - Telecommute,$120K - $145K (Employer est.),"Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)

Optum 360's Business Intelligence Analytics team is looking for an innovative individual with technical and interpersonal skills to support our vision of taking our organization to the next level by providing effective and actionable insights through implementation of AI models and advanced analytics.

In this role you will be working alongside stakeholders, leadership, and a team of data scientists and engineers to develop innovative solutions and predictive and analytical models such as denials prediction model, risk based account scoring model, propensity to pay model to modernize revenue cycle and improve efficiency.",3.6,UnitedHealth Group,"Eden Prairie, MN",10000+ Employees,1977,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD)
DDM – Data Scientist,$120K - $145K (Employer est.),"About US:
Biz2Credit, a financial technology company founded in 2007, that provides funding to small business and Biz2X, a rapidly growing, high-growth Series B ($52M), SaaS digital lending platform start-up disrupting a $1.4 Trillion dollar industry. Biz2X’s fully configurable SaaS platform incorporates artificial intelligence & machine learning to provide a full end-to-end solution in the SMB, Commercial, and Consumer lending space. As our partners embark on a digital transformation of their business, our solution increases operational efficiencies, enhances risk controls, and enables overall business growth.
In the 2021 $284B Paycheck Protection Program (PPP), Biz2Credit is #1 among 5000+ lenders approved by the Small Business Administration, with over 180,000 approved loans.",3.4,Biz2Credit Inc,"New York, NY",201 to 500 Employees,2007,Company - Private,Lending,Finance,$100 to $500 million (USD)
"Senior Data Scientist, 90-100% Telework",$120K - $145K (Employer est.),"CloudPareto is a product & consulting startup comprised of highly-motivated professionals that enjoy thinking outside of the box to get work done. We are working to accelerate our nation by helping the Federal government become the most accessible, most valuable, most transparent, and most innovative customer in the world.
CloudPareto Principles:
We create world-class products for our world-class Government
We all have one job: work smart to produce interesting and innovative outcomes
We punch above our weight by scaling through software",-1,CloudPareto LLC,"Arlington, VA",1 to 50 Employees,2020,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
"Acoustic Signal Processing Engineer - Data Scientist, Machine Learning",$120K - $145K (Employer est.),"Position Description
Are you passionate about acoustic anti-submarine warfare?
Do you want to work on impactful projects which set new standards of performance?
If so, Signal Systems Corporation wants you on our team.
We are searching for inspired signal processing engineers to develop the next generation of sonar systems, bringing together ideas from the signal processing, physics-based modeling, Bayesian statistics and machine learning domains. When you are on our team, you will be a vital part of maintaining and building our country's technological edge, and that's a role that brings pride to our organization. The team at SSC cultivates, demonstrates and renews its domain expertise in underwater acoustics. We are driven to produce state-of-the-art signal processing, modeling, and tracking research which transition into products that improves our country's war-fighting capability. Successful members of the SSC team come from a variety of backgrounds, bringing their unique talents to bear on challenging problems. At SSC, we believe in developing our talent, collaborating throughout the company, and constantly seeking the next major breakthrough.",-1,Signal Systems Corporation,"Arlington, VA",1 to 50 Employees,-1,Company - Private,Miscellaneous Manufacturing,Manufacturing,$1 to $5 million (USD)
Data Scientist,$120K - $145K (Employer est.),"Primary Location: 6305 Peachtree Dunwoody Rd, Atlanta, GA, USA
Division: Cox Communications Inc
Job Level: Individual Contributor
Travel: No
Schedule: Full-time
Shift: Day Job
Requisition Number: 212720
Cox Communications is seeking a Data Scientist for the Analytics Center of Excellence (ACoE). This role will report to an ACOE Sr. Director of Analytics. This Data Scientist role will be responsible for driving transaction reduction analytics through anomaly detection, root cause analysis, and continuous optimization analysis across the Customer Care domain. Associated scope will include (but not be limited to) truck rolls, calls, chats, and handle time anomalies, Care-related platforms and processes, telemetry and polling-related platforms.",4.0,Cox Communications Inc,"Atlanta Central City Post Offi, GA",10000+ Employees,1962,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD)
Lead Data Scientist,$120K - $145K (Employer est.),"Lead Data Scientist - #NOWHIRING
We’re looking for a lead data scientist to drive our data science and analytics group forward! You’ll be joining a group of curious, smart, technically minded yet business savvy data scientists looking to make a difference to the company by designing and building out our data decisioning capabilities from the ground up!
The Lead Data Scientist is passionate about using data and insights to drive business strategy and develop data products. A successful candidate will manage data science projects including scoping, designing, and executing the vision with the help of more junior data scientists / analysts. They would also identify and prioritize initiatives to deliver value to our internal stakeholders. The ideal candidate would have experience managing data science projects, managing stakeholders, and working cross functionally. This person would have real world experience “in the data trenches” as a data scientist and be an all-star individual contributor. We expect this person to have a passion for driving projects for business outcomes, strong analytical skills, and a strong desire to make an impact in our growing data science practice!",3.2,TRANZACT,United States,1001 to 5000 Employees,1989,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
