Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,$64K - $106K (Glassdoor est.),"Secure our Nation, Ignite your Future
Overview
Each day U.S. Customs and Border Protection (CBP) oversees the massive flow of people, capital, and products that enter and depart the United States via air, land, sea, and cyberspace. The volume and complexity of both physical and virtual border crossings require the application of solutions to promote efficient trade and travel. Further, effective solutions help CBP ensure the movement of people, capital, and products is legal, safe, and secure.
As a Data Scientist on our team, a proven track record of delivering production ready decision support tools and applications employed in the field and by mission-support entities. Further, highly competitive applicants will have a demonstrated capacity to: work closely and collaboratively with mission stakeholders; respond to emergent, mission-driven changes in priorities and expected outcomes; and, apply new and emerging tools and techniques.",4.2,ManTech International Corporation,"Alexandria, VA",5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD)
Sr. Data Scientist,$83K - $138K (Glassdoor est.),"Sr. Data Scientist -INF0001YE
Description

Analytics Sr. Consultant – Sr. Data Scientist – R&D
Description
Headquartered in the heart of downtown Chicago, CNA is a leading commercial and specialty insurer, offering a diverse range of insurance products including Workers Compensation, Property, General Liability, Professional Liability, Cyber Insurance, Surety, and Warranty. We are one of the world leaders in underwriting non-medical professionals, from lawyers and accountants to architects and management consultants.",3.6,CNA Insurance,"Chicago, IL",1001 to 5000 Employees,1897,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
R&D Scientist,$38K - $68K (Glassdoor est.),"LGC, Biosearch Technologies is seeking a detail-oriented and analytical team player to fulfill the role of Scientist in our Research and Development group in Middleton, WI. The individual will provide technical assistance to the R&D group in the areas of nucleic acid amplification and next generation sequencing. Experience in design and development of quantitative PCR and RT-PCR assays is a plus. The hired individual must have the ability to multi-task while maintaining precise documentation of experiments performed.

Key responsibilities and accountabilities:
Amplification (qPCR, RT-qPCR, isothermal amplification, digital PCR)",3.5,LGC Limited,"Middleton, WI",1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Scientist,$71K - $119K (Glassdoor est.),"Who Are We?
QinetiQ Inc. is a leading innovator with over 25 years of experience rapidly developing advanced C5ISR sensor solutions and is a renowned world leader in robotics and autonomy.
The combined QinetiQ U.S. business unit brings capabilities across the full lifecycle of technology development from applied research and development to rapid prototyping, testing, fielding, and sustainment. Our expertise with unmanned platforms, broad sensing modalities, and cross-domain interoperability ensures that we deliver integrated solutions for Warfighter dominance in all phases of combat.
We are a world-class team of professionals who deliver next generation technology and products in robotic and autonomous platforms and systems, ground systems, soldier systems, maritime systems, airborne sensors and payloads, processing and exploitation capabilities, and integrated C2 solutions. Much of our work contributes to innovative research in ﬁelds such as sensor science, signal processing, data fusion, artiﬁcial intelligence (AI), machine learning (ML), and augmented reality (AR).",2.5,QinetiQ Inc.,"Lorton, VA",501 to 1000 Employees,1956,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD)
Data Engineer,$44K - $87K (Glassdoor est.),"Schedule: Mon- Fri Overview:
The data engineer structures data for analytical access, performance and integration. The engineer must manage the balance of current and future needs in both design and content. This position designs and constructs enterprise-wide data and information architecture to support business intelligence and data integration management efforts. You will engineer and implement data warehouse and data mart concepts, and design and oversee strategies for data integration, metadata management, and business intelligence performance. You will partner with the business and leadership to prioritize data and information requirements and will help determine strategic direction of data asset management efforts.
Responsibilities:
Works with analytics information manager to develop a practical roadmap for analytic resource(s) and reporting platform(s).









Qualifications:",3.8,America First Credit Union,"Ogden, UT",1001 to 5000 Employees,1939,Nonprofit Organization,Investment Banking & Asset Management,Finance,$100 to $500 million (USD)
Machine Learning Engineer,-1,"We are engineers, high line workers, power plant managers, accountants, electricians, project coordinators, risk analysts, customer service operators, community representatives, safety and security specialists, communicators, human resources partners, information technology technicians and much, much more. We are 3,300 people committed to enhancing the lives of the communities we serve. Together, we are powering the growth and success of our community progress every day!

Grade: 14, 15, 16

Qualifications may warrant placement in a different job level.",3.7,CPS Energy,"San Antonio, TX",1001 to 5000 Employees,1942,Self-employed,Energy,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD)
Data Scientist,-1,"Financial Data Scientist
We are looking for a strategic, experienced Financial Data Scientist to deliver financial analytics support services to deliver ongoing financial analytics needs. You will participate in the development of crucial data analytics collections and the development of high-level financial reporting capabilities. This role is perfect for someone who has an ownership mentality, is passionate about learning, researching, and finding the solutions that support a world-class culture and organization. You will leverage your experience and passion to drive results and exceed customer expectations.
Responsibilities:
Employ scientific methods, processes, algorithms, and systems to extract knowledge and insights from both structured and unstructured data from multiple disconnected sources.",-1,Prominent Global Solutions,"Fort Meade, MD",-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Company: Herdt Consulting, Inc.
An excellent opportunity with a highly successful, Veteran-Owned Small Business (VOSB). Every day, our clients trust Herdt to help navigate their most complex business and organizational challenges. We partner with our clients at all levels to ensure all business objectives are fully realized. Herdt provides project management, process and leadership support as well as specialized technical support to the U.S. Department of Defense (DoD) and other Federal agencies. Herdt employees are accomplished individuals who have served as hands-on leaders in the U.S. military and private industry - We hire the best. Our employees lead some of the most complex enterprise business systems and business processes through implementation and sustainment. We are valued for our technical knowledge, business process expertise and industry best-practice solutions.",3.9,Herdt Consulting Inc,"Norfolk, VA",51 to 200 Employees,-1,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
Data Analyst,$41K - $74K (Glassdoor est.),"The Data Analyst will provide support to the Human Resource department and compliance by obtaining and using clinical data from multiple sources to support quality initiatives through analysis of data and preparation of reports
Qualifications: The Data Analyst must have a high school diploma (Associate or Bachelor's Degree preferred), previous related experience and /or training; or equivalent combination of education and experience. Further job requirements:
· Microsoft Excel super user possessing the ability to produce spreadsheets, graphs, pivot tables and charts
· Must be familiar with Microsoft Word and PowerPoint
· Strong Analytical skills, strong personal computer skills",3.1,Theradynamics,"Syosset, NY",501 to 1000 Employees,1999,Company - Private,Health Care Services & Hospitals,Health Care,Less than $1 million (USD)
Solid Form Scientist,$45K - $98K (Glassdoor est.),"The ideal Solid Form Scientist candidate will have a strong background working in a GMP laboratory based role with broad experience of running and developing solid form properties and spectroscopic methods for analysis of multiple components in the presence of complex matrices. They will be able to demonstrate a deep knowledge of analytical science. The candidate will also have a strong track record of external communication and collaboration.
Key Responsibilities/Accountabilities:
To perform this job successfully, an individual must be able to perform each essential function satisfactorily.
Will work closely with other materials science experts and analytical teams to provide quality data and solid form characterization / surface properties methods which can be used to support regulatory documentation (e.g. new drug applications).",3.5,LGC Limited,"Petaluma, CA",1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Principal Data Scientist,$104K - $170K (Glassdoor est.),"Working out of our Chevy Chase, MD/Washington DC office, GEICO's Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Principal Data Scientist, you will work with a talented and diverse team of data scientists with responsibility to:
Coordinate project teams of data scientists and supporting roles, acting as the primary point of contact in delivering end-to-end innovative, high-quality data solutions with measurable business value",3.5,GEICO,"Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
"Scientist I, Analytical Development",-1,"DESCRIPTION
The scientist I will be responsible for analytical method development and transfer under general supervision.
JOB DESCRIPTION
The key responsibilities of this role will be to help develop, transfer, optimize and qualify/validate test methods for client projects. The Scientist I will be required to have practical experience with one or more analytical methods, preferably in a cGMP environment. These assays include, but are not limited to, cell-based assays (potency, activity), viral titration methods (plaque assay, TCID50), ddPCR, qPCR, HPLC, ELISA, FACS. This role will also be responsible for maintaining mammalian tissue cultures.",-1,Matica Biotechnology,"College Station, TX",-1,-1,-1,-1,-1,-1
Analytical Technologies Scientist I,$61K - $133K (Glassdoor est.),"Together, Let’s Make A Difference.

At Ajinomoto Bio-Pharma Services, our mission is to help improve the health of humankind. As a leading, global contract development and manufacturing organization, with sites in the US, Belgium, Japan and India, we work together to empower our clients to bring drugs to market.
Every team member, from manufacturing and quality programs to development and facilities services are a critical component to this effort. At our US location, our focused expertise and capabilities makes us one of the industry’s top leaders for large molecule manufacturing and aseptic drug product fill in vials and syringes.",4.0,Ajinomoto Bio-Pharma Services,"San Diego, CA",501 to 1000 Employees,1998,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
Research Scientist I - Essentia,$34K - $75K (Glassdoor est.),"New product development of broths, stocks, flavors, animal fats and functional collagen products; lead and conduct pilot plant and production plant trials; support operations with technical expertise to improve quality / reduce cost of existing products; collaborate and provide technical support to internal cross functional groups and external customers; propose and identify new technological opportunities.
JOB QUALIFICATIONS:
Education and Experience:
Bachelor of Science degree plus a minimum of 4 years of experience
Master of Science plus 2 years of experience",2.8,The Lauridsen Group,"Ankeny, IA",501 to 1000 Employees,1969,Company - Public,Miscellaneous Manufacturing,Manufacturing,Unknown / Non-Applicable
Data Analyst,-1,"Job Details
Description
MetroNet has an immediate opening for an energetic; Data Analyst in Evansville, IN!

At MetroNet, we pride ourselves on providing cutting-edge technology combined with outstanding customer care. We are a fast-growing telecommunication company, offering 100% fiber-optic technology. MetroNet specializes in fiber to the premise TV, voice and internet services that provide our customers with some of the fastest internet speeds in the world. Recognized for being one of the Best Places to Work in 2020 by Glassdoor. We are committed to revolutionizing the industry by enhancing the overall customer experience and optimizing the talent of our valued associates.",4.5,MetroNet,"Evansville, IN",1001 to 5000 Employees,2005,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,Unknown / Non-Applicable
Spark/Big Data Engineer,-1,"The Data Consumption team of Data Security & Infrastructure (DSI) is seeking a highly motivated Spark / Big Data Developer to start or continue an IT career on the Big Data Platform project. Teaming up with architects, scrum masters, leads, managers and directors, you will work in an Agile environment to make the data on the Big Data Platform accessible for the needs of the organization through Atomic Models and Analytical Data Stores. In this role, you will coordinate with a variety of IT departments to elicit and translate high level business requirements into detailed system requirements. You will participate in the entire software development lifecycle by writing and executing test plans, finding solutions to issues during development and after deployment. You should be intellectually curious, have a solutions-oriented attitude and enjoy learning new tools and techniques.
Basic Qualifications:",3.5,GEICO,"Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
